Номер примера;Количество комнат;Общая площадь;Жилая площадь;Тип дома;Этажность квартиры;Этажность дома;Площадь кухни;Индекс места;Минут ходьбы;Телефон;Балкон / Лоджия;Цена
1090;2;44;30;0;5;5;6;43;10;1;2;48000
1091;3;63;45;2;6;12;7;111;10;1;3;68000
1092;1;30;17;0;3;5;5;105;10;0;2;30000
1093;1;39;17;2;11;25;8;70;10;0;1;52000
1094;3;87;58;0;6;8;9;62;7;1;2;135000
1095;3;79;45;1;2;17;11;63;50;1;3;84500
1096;3;52;35;1;3;9;7;102;5;0;2;59000
1097;2;53;31;1;2;12;9;106;7;1;0;58000
1098;1;32;17;0;3;5;7;73;15;1;2;28000
1099;3;61;45;0;1;5;7;95;3;1;0;57500
1100;2;64;36;0;6;10;9;14;1;1;2;148000
1101;2;43;26;1;4;5;7;76;15;1;2;49000
1102;3;63;45;1;9;12;7;61;25;1;1;74500
1103;1;33;19;1;6;9;7;54;5;1;0;46000
1104;2;61;38;0;2;8;6;5;2;0;2;110000
1105;2;56;33;1;12;17;10;109;10;1;2;72000
1106;1;39;21;1;3;14;9;97;35;1;1;36000
1107;2;64;36;0;6;10;9;14;2;1;2;142000
1108;4;80;56;0;3;8;9;68;7;1;2;110000
1109;3;64;35;0;2;8;8;14;10;1;0;101000
1110;1;34;15;1;1;12;9;91;35;0;2;30000
1111;1;35;21;1;4;9;7;41;10;1;1;49000
1112;2;47;30;1;2;9;7;113;10;1;0;49000
1113;2;80;39;0;3;6;9;25;5;1;2;118000
1114;3;72;43;1;5;17;10;8;5;1;1;135000
1115;1;37;19;1;13;16;9;92;15;1;1;45000
1116;2;54;32;1;14;14;9;57;15;1;2;70000
1117;2;44;28;1;3;9;6;74;4;1;0;55000
1118;2;44;28;1;2;9;7;111;5;0;0;45000
1119;3;59;44;1;3;9;6;94;3;1;1;65000
1120;2;37;23;1;5;9;8;49;7;1;2;49000
1121;1;35;19;1;13;16;10;78;10;1;1;45500
1122;2;45;28;1;5;5;6;116;7;1;2;42500
1123;2;51;31;1;6;16;9;104;8;1;2;66000
1124;3;63;44;1;5;12;8;19;20;1;3;105000
1125;3;53;35;2;8;9;6;109;10;1;2;60000
1126;3;87;53;0;5;6;13;18;10;1;2;145000
1127;2;60;36;0;2;10;9;76;5;1;0;85000
1128;3;78;51;0;2;5;10;69;7;1;0;99000
1129;1;36;20;1;3;12;10;69;25;1;2;45000
1130;2;47;32;1;11;12;10;81;10;1;2;59000
1131;3;54;41;0;5;5;6;117;50;1;2;61000
1132;4;70;62;1;1;9;7;126;10;0;1;40000
1133;2;58;34;1;13;16;10;83;25;1;1;67000
1134;2;44;32;1;7;12;7;19;10;1;2;51000
1135;3;81;55;0;6;8;9;19;10;1;2;141000
1136;1;32;15;1;3;14;9;119;10;0;1;38000
1137;1;41;18;0;12;14;7;3;7;1;0;75000
1138;1;33;18;1;3;9;10;18;20;1;2;50000
1139;4;93;65;0;8;8;9;56;1;1;2;140500
1140;3;59;43;1;5;5;7;119;10;1;1;67000
1141;3;83;49;0;2;5;8;30;7;1;0;105000
1142;1;32;17;1;3;5;6;102;5;1;2;31500
1143;3;59;45;2;3;9;7;31;5;1;2;92000
1144;2;53;33;1;4;14;10;55;3;1;2;74500
1145;3;77;51;0;3;5;9;62;10;1;2;92000
1146;3;80;53;0;5;5;9;62;10;1;2;103000
1147;2;56;32;1;9;17;10;19;15;0;2;81000
1148;3;77;46;1;15;17;11;19;15;0;3;113500
1149;3;80;53;0;1;6;10;70;10;1;0;92000
1150;2;53;30;1;14;14;8;112;12;1;2;59500
1151;3;85;56;0;3;8;10;43;15;1;2;140500
1152;3;62;44;1;1;5;7;83;25;1;0;56500
1153;3;61;92;1;9;9;8;119;12;1;1;64000
1154;3;59;44;1;6;9;6;87;15;1;1;70000
1155;2;37;23;1;5;9;7;110;20;1;2;35000
1156;1;34;18;1;6;9;8;67;25;1;0;41000
1157;3;75;49;0;8;8;8;19;10;1;2;135000
1158;2;45;30;0;5;5;7;103;3;1;2;45500
1159;1;34;15;1;1;12;9;91;35;0;0;29500
1160;2;53;33;1;4;14;10;55;3;1;0;68000
1161;2;51;31;1;8;17;9;40;15;1;2;80000
1162;2;56;31;0;3;7;10;72;3;1;2;75000
1163;1;33;19;1;7;9;7;109;1;1;0;40000
1164;2;44;31;1;5;5;7;118;7;1;2;42000
1165;2;72;42;0;3;8;8;79;10;1;0;94000
1166;1;39;20;1;2;17;9;8;10;1;2;60500
1167;1;33;18;0;2;5;7;56;10;1;2;41000
1168;1;35;20;0;1;9;7;83;5;1;0;40000
1169;2;45;30;0;2;5;6;47;5;1;2;52000
1170;1;41;21;1;8;14;9;80;35;1;1;46000
1171;2;38;24;1;5;12;7;121;7;1;2;46000
1172;1;37;20;1;5;17;8;94;5;1;2;42000
1173;3;80;58;0;5;5;10;35;15;1;2;90000
1174;3;81;53;0;3;6;10;30;5;1;2;150000
1175;3;73;45;1;6;17;10;76;20;0;1;105000
1176;2;52;32;1;8;14;9;88;35;1;1;57000
1177;2;58;30;0;5;5;8;49;10;1;0;77000
1178;3;72;50;0;2;6;8;30;1;1;2;97500
1179;3;80;46;1;7;9;8;58;35;1;1;93000
1180;3;73;52;0;4;5;7;39;5;1;0;98500
1181;1;34;17;0;1;5;9;37;9;1;0;38000
1182;2;52;32;2;5;10;10;95;7;1;1;61600
1183;2;57;35;0;4;5;8;103;15;1;2;67000
1184;3;65;44;1;6;9;7;94;4;1;1;72000
1185;3;81;47;1;14;22;10;120;15;1;2;98000
1186;2;45;31;1;2;5;6;105;10;1;2;47800
1187;2;38;23;1;6;9;7;110;15;1;2;36500
1188;1;40;23;0;5;6;7;5;5;1;2;60500
1189;1;41;18;0;12;14;7;3;7;1;0;75000
1190;1;33;18;1;3;9;10;18;15;1;2;50000
1191;3;57;40;0;5;5;7;37;7;1;2;66000
1192;2;44;28;1;3;9;6;54;5;1;0;59000
1193;3;72;51;0;1;5;9;14;5;1;0;85000
1194;1;35;20;1;5;12;9;106;15;1;0;46000
1195;1;42;21;1;10;14;9;40;35;1;1;51000
1196;2;46;30;1;2;12;7;67;35;1;1;75000
1197;2;42;29;0;4;5;6;107;5;0;2;38000
1198;3;70;49;0;4;9;9;13;5;1;0;135000
1199;1;35;21;1;6;9;7;106;15;1;2;42000
1200;1;33;19;1;8;9;7;121;20;1;0;38000
1201;2;48;28;1;3;12;7;106;1;1;1;52000
1202;3;93;58;1;2;5;15;103;15;1;2;107000
1203;1;30;18;0;2;9;6;104;7;1;0;34500
1204;1;30;18;0;4;4;7;123;5;0;2;19500
1205;2;45;28;0;1;9;6;121;20;1;0;38000
1206;2;51;30;1;12;12;9;80;35;1;1;57000
1207;1;32;22;2;1;9;5;93;10;1;0;35000
1208;1;36;18;1;23;23;8;75;15;1;2;45000
1209;1;41;18;0;3;14;10;0;10;1;0;120000
1210;2;37;23;1;7;12;9;36;15;1;2;50000
1211;2;64;34;0;4;5;8;121;15;1;0;69000
1212;2;53;31;1;8;14;8;122;15;0;2;46000
1213;3;75;47;0;3;5;8;50;5;1;2;110000
1214;4;98;67;0;3;5;11;50;5;1;2;130000
1215;3;80;48;1;7;14;8;120;35;0;1;70000
1216;2;38;24;1;3;9;8;57;2;1;2;47000
1217;1;33;18;1;10;12;10;49;3;1;2;51000
1218;2;45;29;1;2;5;6;119;5;1;2;43000
1219;2;53;32;1;1;17;9;8;5;1;0;80000
1220;2;48;32;1;9;14;9;37;10;1;1;65000
1221;2;41;25;1;12;14;9;122;65;0;1;32000
1222;2;39;22;1;9;12;7;116;7;1;2;48000
1223;2;58;32;1;3;22;11;54;10;1;1;82000
1224;1;39;20;1;2;17;9;8;10;1;2;61500
1225;2;72;42;0;3;8;8;79;10;1;0;94000
1226;3;98;63;0;4;9;11;44;5;1;2;127000
1227;2;49;28;1;1;5;6;85;25;1;0;38000
1228;3;85;55;0;5;10;14;58;7;1;2;122000
1229;1;36;19;1;12;16;9;106;5;1;1;45000
1230;1;34;15;1;1;12;9;91;35;0;0;30000
1231;2;55;37;0;6;8;9;72;10;1;2;76000
1232;2;65;37;0;5;5;9;105;5;1;2;60500
1233;1;36;18;0;5;5;8;81;5;1;0;40500
1234;1;35;19;1;10;12;8;58;15;1;0;40500
1235;1;38;19;1;14;14;9;109;35;0;2;36500
1236;1;29;17;0;2;9;6;105;4;1;0;38000
1237;4;80;54;0;12;12;9;6;10;1;0;140500
1238;3;84;57;0;8;8;10;48;5;1;2;108000
1239;3;74;45;1;13;17;11;8;15;1;1;148000
1240;3;69;43;1;16;22;10;8;15;1;2;135000
1241;2;35;22;0;8;9;7;28;2;1;2;55000
1242;3;79;52;0;5;11;10;72;10;1;2;135000
1243;2;43;29;0;2;5;6;95;25;1;2;39000
1244;2;54;40;1;9;9;8;117;10;1;2;50000
1245;2;43;30;0;1;5;6;71;3;1;0;50000
1246;4;70;50;0;5;5;8;58;30;1;2;115000
1247;3;64;39;1;8;12;8;92;10;1;1;74000
1248;1;34;15;1;1;12;9;91;35;0;0;30000
1249;2;63;37;0;2;5;8;72;10;1;0;80000
1250;1;35;19;2;8;12;10;27;6;1;2;59000
1251;2;43;30;0;1;5;6;71;3;1;0;50000
1252;2;54;32;1;14;17;10;91;35;1;2;82000
1253;3;80;52;0;2;5;9;73;10;1;0;115000
1254;3;76;46;1;12;22;10;54;5;1;1;103000
1255;2;46;30;1;3;12;8;96;25;1;1;46000
1256;3;64;45;1;11;12;7;111;10;1;1;66000
1257;3;65;46;1;6;16;8;109;5;1;1;77000
1258;1;32;21;2;2;9;6;57;15;1;0;38000
1259;2;66;36;1;2;4;9;80;15;0;1;88000
1260;2;44;33;0;1;5;6;62;10;1;0;40000
1261;2;45;29;1;1;5;6;105;5;1;0;40000
1262;1;31;19;1;5;17;9;91;25;1;1;45000
1263;3;54;37;1;2;5;6;62;25;1;2;60000
1264;1;33;17;0;1;9;9;81;7;1;1;37000
1265;2;47;31;1;9;9;7;80;7;1;2;50000
1266;3;70;49;0;2;7;8;13;7;1;0;109000
1267;3;58;43;1;12;12;7;109;15;1;2;60000
1268;1;39;21;1;5;14;8;61;15;1;1;57000
1269;1;33;19;1;7;9;7;105;12;1;0;38500
1270;2;44;30;2;1;5;6;66;1;1;0;49000
1271;1;31;16;2;1;9;7;101;10;1;1;35000
1272;1;39;19;1;14;17;9;117;35;1;1;43000
1273;2;45;28;2;5;5;7;117;25;1;0;39000
1274;2;45;29;0;4;9;6;67;15;1;2;58000
1275;4;100;58;0;2;7;13;20;5;1;0;125000
1276;2;47;30;2;1;9;7;117;25;0;0;45000
1277;1;33;19;1;3;9;7;87;10;1;0;38000
1278;1;31;19;1;2;5;6;103;12;1;2;40000
1279;1;39;21;1;6;16;8;120;30;1;1;42000
1280;2;52;32;1;9;17;9;87;7;1;1;71000
1281;4;64;47;1;5;9;7;54;10;1;2;76000
1282;1;33;19;1;9;9;6;54;5;1;0;39000
1283;1;34;19;1;3;9;7;54;15;1;0;41000
1284;4;71;50;1;1;16;8;100;20;1;0;84000
1285;2;38;24;1;2;9;8;79;2;0;0;41000
1286;2;43;28;0;2;8;7;40;5;1;0;68000
1287;3;56;37;1;5;5;6;60;30;1;2;60000
1288;1;40;22;1;7;12;10;46;20;1;1;48000
1289;2;42;28;0;2;5;9;103;10;1;2;46000
1290;2;58;35;1;10;22;10;54;7;1;1;82000
1291;4;95;72;0;1;5;8;68;10;1;0;100000
1292;1;33;19;1;9;9;6;54;5;1;0;41000
1293;2;45;28;1;12;12;6;112;15;1;2;40000
1294;2;36;25;1;1;5;7;102;25;1;2;35000
1295;2;49;31;2;1;12;8;77;10;1;0;49000
1296;3;75;46;1;15;16;10;54;10;1;1;105000
1297;2;46;31;1;6;14;9;80;5;1;2;54000
1298;2;60;34;1;22;22;9;74;35;1;2;65000
1299;2;43;27;0;2;5;6;103;15;1;2;47000
1300;4;64;44;1;6;9;6;116;50;1;2;55000
1301;3;61;39;1;3;14;9;120;35;0;2;66000
1302;2;66;37;0;5;5;7;6;5;1;0;78000
1303;1;51;24;0;2;5;10;76;15;1;0;59500
1304;2;45;30;0;5;9;6;95;10;1;2;55000
1305;2;45;29;2;3;5;6;98;15;1;2;50000
1306;2;45;28;1;6;9;6;109;30;1;0;48000
1307;2;40;25;2;6;9;8;93;1;1;2;55000
1308;1;33;19;1;7;9;7;54;15;1;0;45200
1309;2;52;30;2;10;12;9;53;20;1;2;67640
1310;3;85;57;0;4;8;10;68;7;1;2;132200
1311;1;39;21;1;11;12;9;106;10;1;3;45000
1312;2;46;28;0;7;8;6;90;8;0;0;49000
1313;2;47;30;1;1;9;8;80;7;1;1;51000
1314;3;58;44;1;3;9;6;109;5;0;2;60000
1315;3;59;45;1;6;9;7;119;15;1;1;62000
1316;1;39;21;1;2;12;9;75;15;0;0;40000
1317;3;85;63;0;6;6;8;0;2;1;2;145000
1318;2;38;24;2;8;12;7;40;5;1;2;44000
1319;2;47;30;1;2;9;7;113;10;1;0;49000
1320;1;40;21;1;2;12;9;61;25;1;0;55000
1321;2;57;32;0;5;5;13;103;7;1;2;63000
1322;2;52;32;1;2;14;9;111;12;1;0;63000
1323;1;16;10;1;5;5;4;103;10;0;0;23000
1324;2;52;30;0;3;8;8;3;10;1;0;125000
1325;1;33;19;1;7;12;7;47;10;1;0;47000
1326;1;33;18;1;1;14;9;102;25;1;0;37000
1327;2;44;29;1;2;5;6;71;5;1;2;50000
1328;3;74;44;1;14;17;10;8;5;1;1;140000
1329;3;74;44;1;10;17;10;8;7;1;1;137000
1330;3;74;44;1;17;17;10;8;7;1;1;135000
1331;2;60;34;0;4;5;8;71;5;1;2;80000
1332;2;44;29;0;5;5;6;39;20;1;2;52000
1333;1;32;19;1;4;5;7;47;15;1;0;38000
1334;4;64;44;1;6;9;6;116;20;1;2;55000
1335;1;33;19;1;3;9;7;105;10;1;0;38950
1336;1;36;19;0;5;5;8;71;10;1;0;48400
1337;1;34;20;0;2;9;6;30;8;1;2;70000
1338;3;74;44;1;10;17;10;8;10;1;1;135000
1339;3;74;44;1;14;17;10;8;2;1;1;140000
1340;2;51;30;1;5;22;10;8;10;1;2;95000
1341;2;58;35;1;10;16;9;61;10;1;2;85000
1342;3;72;48;0;4;5;9;73;8;0;2;95000
1343;3;66;43;1;3;5;8;52;15;1;0;70000
1344;1;31;17;1;1;5;6;61;25;0;0;32000
1345;2;43;29;0;1;5;6;93;7;1;0;38000
1346;2;55;36;0;5;8;9;6;10;1;2;120000
1347;3;97;71;0;5;5;8;95;3;0;0;85000
1348;3;65;47;1;2;16;8;45;25;1;1;81000
1349;1;32;17;2;8;12;8;31;3;1;2;49000
1350;4;100;70;0;1;5;9;56;3;1;0;125000
1351;3;82;49;0;3;5;9;85;15;1;2;95000
1352;1;18;14;0;5;5;4;102;3;1;0;23500
1353;1;38;22;0;6;11;7;29;5;1;2;57000
1354;3;57;39;1;8;9;6;73;10;0;2;63000
1355;3;58;39;2;7;9;7;77;7;1;2;70000
1356;2;50;35;2;2;9;6;97;15;1;0;54000
1357;1;37;22;0;4;6;8;37;5;1;0;60000
1358;2;52;30;0;11;14;9;13;15;1;1;100000
1359;1;35;21;2;2;9;6;102;10;1;1;39000
1360;1;31;18;1;4;5;6;49;7;1;2;43000
1361;2;54;36;0;1;5;8;91;10;1;0;60000
1362;2;52;31;2;4;14;9;120;20;1;1;52000
1363;2;62;35;0;4;7;9;103;5;1;0;73000
1364;2;57;35;0;9;9;9;19;5;1;2;93000
1365;1;39;21;1;1;14;9;120;25;0;0;35000
1366;3;58;38;0;6;9;7;100;15;1;2;53000
1367;2;47;31;1;2;9;7;109;10;1;0;51000
1368;1;31;19;0;3;5;6;87;7;1;2;39000
1369;1;38;19;1;14;17;8;64;10;1;1;50000
1370;2;60;33;0;5;5;7;116;30;0;2;52000
1371;1;35;20;2;11;12;10;97;10;1;1;46000
1372;3;59;42;1;7;9;7;52;10;1;1;84000
1373;3;72;43;1;2;22;9;63;25;1;1;115000
1374;4;75;52;1;3;12;9;75;20;1;1;95000
1375;2;44;28;1;2;9;6;119;20;1;0;42000
1376;1;35;20;1;2;16;10;16;10;1;1;60000
1377;1;31;19;0;4;5;6;100;10;1;2;33000
1378;3;76;47;1;3;16;11;54;10;1;2;105000
1379;1;34;19;1;4;9;9;77;20;1;0;36000
1380;1;38;20;1;4;22;10;91;35;0;2;48000
1381;2;65;37;0;5;5;9;85;10;0;2;74000
1382;1;35;19;1;14;14;10;30;15;1;1;51000
1383;2;46;29;2;3;5;6;49;5;1;2;56000
1384;2;45;32;1;7;9;6;68;25;1;2;48000
1385;1;36;18;0;4;8;9;18;5;1;0;66000
1386;2;46;32;1;3;5;6;117;25;1;0;40000
1387;2;46;30;1;5;5;7;40;10;1;0;49000
1388;4;75;57;0;4;5;8;44;10;1;2;110000
1389;2;57;35;0;4;7;10;28;5;1;2;103000
1390;3;100;62;0;7;7;14;51;5;1;2;145000
1391;1;38;19;1;14;17;9;42;2;1;2;57000
1392;1;32;20;1;4;5;5;68;10;1;2;40000
1393;2;51;30;0;9;12;10;22;15;1;1;90000
1394;2;58;32;1;8;22;10;88;20;1;1;63000
1395;3;58;44;1;7;9;7;121;20;1;0;40000
1396;1;31;21;1;5;9;6;45;25;1;2;43000
1397;1;39;20;1;10;17;9;91;15;0;1;43000
1398;1;44;21;1;8;14;10;120;15;1;1;42000
1399;3;83;52;0;9;14;9;82;10;1;0;95000
1400;3;80;55;0;5;5;9;38;5;1;2;115000
1401;3;72;53;0;2;5;8;30;8;1;2;90000
1402;3;52;38;0;5;8;5;68;15;1;2;70000
1403;1;35;19;1;9;16;11;121;25;1;1;32000
1404;1;32;20;1;5;5;6;110;15;0;2;39000
1405;2;44;28;1;4;9;7;63;20;1;0;58000
1406;2;42;31;0;8;8;6;3;5;1;2;80000
1407;3;85;55;0;7;9;9;95;10;1;0;120000
1408;2;51;33;1;7;12;10;45;15;1;0;71000
1409;2;45;30;2;2;5;5;110;2;0;2;45000
1410;1;31;18;2;5;5;6;60;15;1;2;34000
1411;3;74;52;0;1;5;9;73;25;1;0;70000
1412;3;79;54;0;8;9;9;96;15;1;2;101000
1413;4;101;73;0;5;5;9;35;10;1;2;130000
1414;3;67;46;0;3;8;8;19;15;1;0;105000
1415;2;44;29;0;5;5;6;110;10;1;2;47500
1416;2;56;31;2;5;12;9;75;10;1;1;67000
1417;3;64;44;1;1;9;7;109;5;1;3;62000
1418;3;65;47;1;16;16;8;109;35;1;2;64000
1419;2;48;33;2;1;14;10;61;10;1;0;50000
1420;3;73;44;1;5;17;11;91;20;0;1;88000
1421;2;54;34;0;6;9;10;18;15;1;2;94000
1422;4;85;56;0;4;5;9;5;15;1;0;150000
1423;1;31;18;0;7;8;7;55;5;1;2;45000
1424;3;67;47;0;3;8;8;6;10;1;2;145000
1425;3;78;52;0;4;8;9;29;10;1;2;127000
1426;3;65;44;1;9;9;6;109;5;1;2;70000
1427;3;83;52;0;9;14;9;82;10;1;0;95000
1428;1;38;19;1;22;24;9;46;10;1;2;65000
1429;2;47;30;1;2;9;7;113;10;1;0;47000
1430;3;80;53;0;3;6;9;25;5;1;2;118000
1431;3;80;51;0;3;8;10;13;7;1;0;135000
1432;2;45;29;0;4;5;6;49;15;1;2;51000
1433;3;57;42;0;6;9;6;57;15;1;2;69500
1434;1;31;20;1;5;5;7;117;10;1;2;30000
1435;2;54;31;1;14;16;9;53;20;1;2;85000
1436;1;35;19;0;11;15;7;29;5;1;0;61000
1437;2;37;23;2;6;9;8;40;15;1;2;66000
1438;3;58;42;1;2;9;6;54;15;1;3;85000
1439;2;61;32;0;5;7;10;35;10;1;2;105000
1440;2;38;23;1;8;12;8;102;15;1;2;47000
1441;1;33;21;0;3;5;6;35;5;1;2;51000
1442;2;58;37;0;8;9;9;16;7;1;2;90000
1443;3;52;35;1;7;9;6;117;35;1;2;60000
1444;1;41;18;0;3;14;10;0;5;1;0;104000
1445;1;39;21;1;2;12;9;61;25;1;0;54000
1446;1;36;17;0;5;9;9;18;5;1;1;68000
1447;1;34;19;1;3;9;7;80;2;1;0;40000
1448;2;42;29;0;2;5;7;115;15;1;0;45000
1449;1;33;19;2;3;9;8;35;15;1;3;47400
1450;1;31;18;1;1;5;6;116;10;1;0;30500
1451;2;38;24;1;4;9;7;40;7;1;2;57500
1452;1;39;21;1;8;12;9;78;10;1;2;50000
1453;1;35;19;2;5;16;9;92;10;0;1;45000
1454;3;74;44;2;10;17;10;8;10;1;2;137000
1455;1;35;19;1;2;12;10;109;7;1;0;38000
1456;1;39;21;1;5;14;9;109;25;0;1;46000
1457;3;81;54;0;5;8;10;19;10;1;2;150000
1458;3;74;45;1;11;17;10;63;15;0;3;115000
1459;2;45;28;1;4;9;6;121;35;1;0;40000
1460;1;40;20;1;14;22;9;54;10;1;2;53000
1461;2;51;30;1;7;14;10;63;25;1;1;61000
1462;1;31;19;0;5;5;7;3;7;1;2;52500
1463;2;56;34;0;6;6;8;100;10;1;2;60000
1464;2;46;29;1;2;5;6;63;20;1;2;50000
1465;2;40;24;1;4;12;6;63;20;1;2;48000
1466;1;42;19;2;1;12;10;35;10;1;0;51000
1467;2;38;23;1;4;9;7;40;5;1;2;57500
1468;2;41;27;0;2;2;6;119;20;1;2;48000
1469;4;95;65;0;9;10;9;99;10;1;0;95000
1470;1;41;18;0;12;14;7;3;7;1;0;75000
1471;2;48;32;1;9;14;9;37;15;1;1;67000
1472;2;45;28;1;6;9;6;109;15;1;0;49000
1473;3;72;50;0;2;5;10;95;2;1;0;80000
1474;3;73;44;1;21;22;10;91;20;1;1;90000
1475;2;58;34;1;21;22;10;91;20;1;2;70000
1476;3;63;43;1;4;9;7;46;15;1;1;80000
1477;1;42;19;2;11;12;10;50;10;1;2;58000
1478;2;53;31;1;12;12;8;92;10;1;2;55000
1479;3;73;53;0;2;5;8;30;7;1;2;115000
1480;1;37;19;0;5;5;9;81;5;1;0;41500
1481;3;76;46;1;17;17;11;91;20;0;3;82000
1482;3;53;42;0;3;5;6;37;3;1;2;90000
1483;1;47;20;0;6;8;9;34;5;1;0;80000
1484;2;48;31;0;3;10;8;5;4;1;0;101000
1485;2;62;38;0;4;9;9;72;5;1;0;100000
1486;2;38;23;1;8;9;8;79;10;1;2;45000
1487;2;54;31;1;4;12;10;75;20;1;1;82000
1488;1;40;21;1;19;22;11;80;25;0;2;41000
1489;1;38;19;1;17;17;9;91;35;1;2;35000
1490;3;89;58;0;5;10;10;58;10;1;0;120000
1491;2;45;28;1;8;9;7;111;10;1;0;50000
1492;3;96;63;0;7;9;9;72;2;1;2;115000
1493;3;79;52;0;6;8;9;3;10;1;2;132000
1494;2;53;33;0;6;8;9;3;10;1;2;94000
1495;2;53;32;1;8;17;9;8;1;1;2;90000
1496;1;28;16;1;4;5;6;83;25;1;2;34000
1497;1;37;19;1;2;17;9;91;20;1;2;50000
1498;2;54;32;1;7;17;9;91;35;0;2;61000
1499;3;57;38;1;5;9;6;92;5;1;1;60000
1500;2;45;28;1;9;14;6;93;5;1;2;55000
1501;1;32;21;1;1;9;6;87;15;1;0;37000
1502;1;38;19;1;14;17;9;40;20;1;2;55000
1503;2;63;35;0;4;8;10;68;10;1;2;97000
1504;3;79;52;0;7;9;10;68;5;1;2;120000
1505;2;46;30;2;1;9;8;68;20;1;1;53000
1506;3;51;35;1;8;9;6;68;20;1;1;60000
1507;2;65;39;0;3;7;8;21;10;1;0;105000
1508;1;32;19;0;8;9;6;72;15;1;2;38000
1509;1;32;22;1;6;9;6;87;3;1;0;41000
1510;3;74;46;1;16;17;10;87;15;1;2;98000
1511;2;43;31;0;3;5;7;107;3;1;2;48000
1512;3;65;43;1;10;12;9;37;5;1;2;132000
1513;3;71;49;0;7;8;8;7;7;1;2;147000
1514;4;72;51;0;5;5;8;69;7;1;2;92000
1515;2;59;34;0;3;5;9;91;5;1;2;74600
1516;1;38;20;1;2;22;10;54;10;1;2;53000
1517;3;83;56;0;2;8;8;43;5;1;0;130000
1518;2;51;31;1;17;17;8;78;5;1;2;69000
1519;1;32;22;1;5;9;6;59;5;1;2;39000
1520;1;35;16;0;6;10;8;17;4;1;2;57000
1521;3;64;39;1;7;9;9;116;20;1;1;61000
1522;3;75;50;0;4;5;9;95;10;0;2;85000
1523;3;61;44;1;1;5;7;94;15;1;0;52000
1524;1;33;19;1;7;9;7;54;15;1;0;45000
1525;1;36;19;0;2;4;8;90;5;1;2;44000
1526;2;55;32;1;11;12;10;88;15;1;1;57000
1527;3;72;43;1;12;17;11;121;25;1;2;74000
1528;1;32;17;1;1;12;7;63;8;1;1;42000
1529;1;31;20;0;3;5;7;38;10;1;2;50000
1530;2;54;33;0;6;6;6;5;1;1;2;85000
1531;1;35;21;1;5;9;6;117;20;1;1;39000
1532;2;52;30;1;6;10;8;89;5;1;1;71000
1533;1;29;17;0;5;5;6;121;10;0;2;31000
1534;1;37;19;1;2;9;7;54;10;1;0;45000
1535;2;43;29;0;1;5;6;51;25;1;0;45000
1536;1;35;20;2;9;12;9;85;5;1;2;46000
1537;2;40;24;1;7;14;7;41;15;1;2;62000
1538;3;65;45;1;2;9;7;41;10;1;1;83000
1539;3;71;41;1;8;14;9;45;15;0;1;120000
1540;1;35;19;1;15;17;9;41;7;1;1;51000
1541;1;35;20;1;2;12;10;85;10;0;0;38000
1542;3;67;43;0;5;8;7;13;5;1;2;120000
1543;1;36;19;0;2;14;9;31;10;1;2;58500
1544;2;43;30;0;5;5;6;76;5;1;2;46000
1545;3;54;36;1;8;9;6;102;15;1;1;50000
1546;3;62;36;1;1;9;7;54;7;1;1;80000
1547;3;69;49;0;7;7;8;43;7;1;0;99000
1548;3;83;53;0;5;5;9;72;25;1;2;80000
1549;1;32;22;2;4;9;6;116;10;1;2;40000
1550;2;41;26;1;7;16;6;13;3;1;0;69000
1551;3;72;51;0;1;6;9;25;5;1;1;145000
1552;2;45;29;1;3;5;6;102;5;1;2;47000
1553;3;55;37;1;1;5;6;105;12;1;0;48000
1554;2;46;30;1;2;5;7;104;15;0;0;46000
1555;2;55;34;0;7;7;10;59;25;1;2;70000
1556;1;32;21;1;6;9;6;87;3;1;2;38000
1557;1;33;17;0;1;9;8;109;10;1;1;30000
1558;2;52;31;1;2;14;9;113;10;1;0;50000
1559;2;42;27;1;5;5;6;85;10;0;2;45000
1560;2;45;29;1;3;5;6;102;5;1;2;47000
1561;3;77;53;0;4;5;9;51;5;1;2;120000
1562;1;36;20;1;11;14;10;102;15;1;1;51000
1563;3;73;50;0;6;9;8;13;5;1;2;130000
1564;2;58;34;1;11;17;10;80;35;0;1;65000
1565;2;46;30;2;1;9;8;68;15;1;1;53000
1566;1;34;20;2;9;12;9;112;10;1;2;43000
1567;3;56;33;1;1;12;11;87;12;1;1;55000
1568;1;52;26;0;5;5;10;73;8;1;2;57000
1569;2;54;32;1;5;17;10;77;20;1;2;65000
1570;2;60;38;0;4;5;9;9;7;1;2;105000
1571;2;51;31;1;17;17;9;63;15;1;2;57000
1572;2;53;32;1;12;16;9;49;10;1;2;90000
1573;2;47;31;1;2;9;7;109;10;1;0;46000
1574;3;83;62;0;8;9;7;95;1;1;2;88000
1575;2;44;28;1;5;9;6;88;10;1;0;53000
1576;1;39;20;1;6;22;12;97;15;1;2;46000
1577;3;80;55;0;3;5;9;73;7;1;2;110000
1578;3;76;54;1;1;12;10;61;25;0;0;72000
1579;4;100;64;1;22;22;10;63;25;1;2;107000
1580;3;60;45;2;5;5;6;56;10;1;2;70000
1581;2;47;32;2;11;12;10;81;10;1;2;58000
1582;2;46;29;1;1;9;7;111;10;1;1;50000
1583;1;35;20;1;9;12;10;76;10;1;1;52000
1584;2;47;36;1;3;5;7;49;5;1;2;57000
1585;3;86;56;0;2;4;8;104;10;1;0;110000
