Номер примера;Количество комнат;Общая площадь;Жилая площадь;Тип дома;Этажность квартиры;Этажность дома;Площадь кухни;Индекс места;Минут ходьбы;Телефон;Балкон / Лоджия;Цена
713;1;32;20;1;1;5;6;116;10;0;0;31000
714;1;33;21;1;1;5;6;69;20;1;0;30000
715;2;46;27;1;5;5;6;75;10;1;2;47000
716;3;59;42;2;4;5;6;116;10;1;2;52000
717;2;45;28;1;5;5;7;104;15;1;0;49000
718;1;33;18;1;2;9;7;78;2;1;0;39000
719;2;37;24;1;3;12;6;102;10;1;2;45000
720;1;34;20;1;1;9;8;92;5;1;1;36000
721;3;54;37;1;4;5;7;102;15;1;2;56000
722;2;54;32;1;7;17;10;77;15;1;2;63000
723;2;47;27;0;1;8;8;24;5;1;0;75000
724;2;54;32;1;10;17;9;121;25;1;2;48000
725;2;61;40;0;2;7;8;29;7;1;0;95000
726;2;42;28;0;4;5;6;104;15;1;2;43500
727;2;35;21;0;3;9;7;116;15;1;2;54000
728;2;43;28;0;1;5;5;5;4;1;0;60000
729;2;52;30;1;5;12;9;111;15;0;1;53000
730;2;57;34;0;11;12;9;18;5;1;2;100000
731;3;71;53;1;9;9;6;61;7;1;1;74000
732;1;33;19;1;2;9;7;109;10;1;0;44000
733;3;68;49;1;6;9;6;119;10;1;1;73000
734;4;77;56;0;2;5;8;100;15;1;0;87000
735;2;55;32;1;12;17;9;63;20;1;2;60000
736;4;111;66;0;4;5;11;23;3;1;0;137000
737;1;37;20;1;14;16;10;80;20;1;1;51000
738;3;80;56;1;7;14;9;120;25;1;2;77000
739;2;39;24;2;6;12;7;122;35;1;2;34000
740;2;44;28;0;8;9;7;119;10;1;0;47000
741;1;31;19;0;8;8;5;16;5;1;2;55000
742;3;62;44;0;1;5;6;58;10;1;0;67000
743;1;33;19;1;2;9;7;94;5;1;0;39000
744;2;45;28;2;2;12;7;79;15;1;2;55000
745;3;70;44;0;4;5;8;56;7;1;2;93000
746;1;38;19;1;16;16;9;45;20;1;1;46000
747;3;79;53;0;3;8;8;62;5;1;2;135000
748;3;88;58;0;4;8;12;32;2;1;3;135000
749;4;99;67;0;3;6;10;25;5;1;2;145000
750;3;73;44;0;5;8;12;21;5;1;2;135000
751;2;44;28;0;3;5;6;30;10;1;2;49000
752;1;35;22;1;7;12;8;92;12;1;0;39000
753;2;38;25;0;4;9;6;17;5;1;2;65000
754;1;33;22;2;8;9;6;116;5;1;2;37000
755;1;32;21;1;7;9;6;49;3;1;2;43500
756;2;45;28;1;9;9;6;97;15;0;0;45000
757;3;67;44;0;5;5;7;121;15;1;0;60000
758;3;73;44;1;15;17;10;8;3;1;2;140000
759;2;63;39;0;1;9;9;40;10;1;0;76000
760;1;32;21;2;2;9;6;102;15;0;0;34000
761;1;31;19;0;2;5;6;105;20;1;2;36000
762;3;60;38;1;5;9;9;78;10;1;2;70000
763;4;101;73;0;5;5;9;39;12;1;0;145000
764;3;100;66;0;4;8;12;35;5;1;0;141000
765;3;72;44;1;10;17;9;52;15;1;1;125000
766;2;60;32;0;6;10;11;84;7;1;2;75000
767;2;51;31;2;4;12;11;60;10;1;1;62000
768;3;83;52;0;9;14;8;82;10;1;0;97000
769;3;66;46;1;3;5;8;52;15;1;0;67000
770;3;81;57;0;4;8;10;40;15;1;2;140000
771;3;61;37;0;8;8;10;19;7;1;2;104000
772;3;73;49;0;2;8;9;19;10;1;0;141000
773;3;66;44;1;7;12;11;106;15;1;1;69000
774;2;42;26;2;2;5;6;13;7;1;2;52000
775;2;56;34;0;1;9;9;19;10;1;0;72000
776;3;59;43;1;5;5;6;76;20;1;2;58000
777;2;46;31;1;5;5;7;83;7;1;0;50000
778;4;83;57;0;2;5;10;37;10;1;0;128000
779;2;44;28;1;2;12;8;88;10;0;1;45000
780;1;32;18;1;3;9;7;40;20;1;1;47000
781;2;45;32;1;2;5;7;40;4;1;2;62000
782;2;52;32;0;4;8;8;40;10;1;2;90000
783;1;40;20;1;19;22;10;120;30;1;0;40000
784;1;34;21;0;4;4;6;111;30;1;0;33000
785;3;60;39;1;1;9;10;104;10;1;1;70000
786;3;79;54;0;8;8;8;68;10;1;2;110000
787;2;64;39;0;2;8;8;43;15;1;0;90000
788;1;37;20;0;3;3;10;105;10;1;0;38000
789;4;73;53;0;2;5;9;26;5;1;0;99000
790;2;49;34;2;2;12;7;119;15;1;1;50000
791;1;33;19;1;6;9;7;104;25;1;0;38000
792;2;43;27;1;5;5;6;115;25;1;2;44000
793;3;53;38;0;5;5;6;83;5;1;2;59000
794;1;34;19;1;1;12;10;104;15;1;0;35000
795;3;64;44;2;5;6;8;35;7;1;0;90000
796;3;75;45;1;11;16;11;92;2;1;1;85000
797;2;45;28;1;9;14;7;67;25;1;2;60000
798;3;53;36;0;5;5;6;72;25;1;2;57000
799;2;45;32;2;1;5;6;97;10;1;2;46000
800;4;72;51;0;1;6;7;39;7;1;0;100000
801;3;75;46;1;10;17;11;91;25;0;1;86000
802;3;75;46;1;7;17;10;91;25;0;3;86000
803;3;75;46;1;13;14;10;91;25;0;1;86000
804;2;54;31;1;10;14;9;91;25;1;2;60000
805;4;101;66;1;17;22;11;91;25;0;1;125000
806;2;45;30;1;9;9;7;117;25;0;1;46000
807;2;57;35;0;5;5;8;37;15;1;2;75600
808;2;45;28;0;1;5;7;117;20;1;0;37000
809;3;82;57;2;2;4;9;14;15;1;0;123000
810;1;34;19;1;8;12;10;113;20;1;0;39000
811;3;67;46;1;16;16;8;69;15;1;1;84000
812;3;75;45;1;4;17;10;109;15;1;1;85000
813;1;33;20;1;3;9;7;117;15;1;0;35000
814;2;53;32;0;8;14;10;58;5;1;2;65000
815;2;55;32;1;9;17;9;91;10;1;2;60000
816;2;50;32;0;4;5;6;2;5;1;0;90000
817;1;33;19;1;9;9;7;42;5;1;0;45000
818;2;45;30;0;5;9;7;117;15;1;2;48000
819;1;33;19;1;6;9;7;83;15;1;0;42000
820;2;38;24;1;9;12;7;117;20;1;2;40000
821;3;59;45;1;2;9;6;94;10;1;0;63000
822;3;68;48;1;12;12;7;61;30;1;2;80000
823;1;41;21;1;4;12;9;121;50;0;1;30000
824;3;58;43;0;6;8;7;43;9;1;2;77000
825;2;45;29;1;13;14;6;98;10;1;2;52000
826;1;30;16;1;1;9;6;68;35;0;2;35000
827;2;43;32;1;3;5;6;103;7;1;2;47000
828;2;62;35;1;20;22;10;54;7;1;1;91000
829;2;54;32;1;13;16;10;47;25;1;2;92000
830;2;58;34;1;3;17;11;42;5;1;1;93000
831;3;66;50;0;4;5;8;121;5;1;2;80000
832;1;31;19;1;2;5;7;110;25;1;2;33000
833;2;43;27;0;4;5;6;92;10;0;2;42000
834;1;39;21;1;2;12;9;113;25;1;0;37500
835;2;45;28;1;6;9;6;102;20;1;0;47000
836;2;44;30;1;3;5;7;117;35;1;0;40000
837;2;52;31;1;8;12;9;68;50;1;2;59000
838;2;46;30;1;1;9;8;62;15;1;0;55000
839;4;63;46;1;8;9;6;47;5;1;1;75000
840;3;57;42;2;5;5;6;62;20;1;2;60000
841;3;59;44;2;4;9;6;68;25;1;2;65000
842;3;73;52;0;5;5;9;18;15;1;2;91000
843;1;30;19;0;5;5;6;7;2;1;2;48000
844;3;59;41;1;5;5;6;67;10;1;2;60000
845;1;35;18;0;5;14;9;68;10;1;1;58000
846;2;51;31;2;3;12;10;68;15;1;0;55000
847;3;73;53;0;3;5;9;86;10;1;2;91000
848;2;59;34;1;11;17;10;113;25;1;1;66000
849;2;45;30;1;4;5;6;58;7;1;2;48000
850;3;58;42;1;7;9;6;61;25;1;1;65000
851;3;64;44;2;10;12;7;31;5;1;1;97000
852;1;36;19;1;5;12;10;97;5;1;2;40000
853;1;36;15;1;2;17;9;109;30;0;2;38000
854;1;36;15;1;17;17;9;109;25;0;2;38000
855;1;33;20;1;1;5;7;103;2;1;0;36000
856;1;33;19;0;5;5;7;103;5;1;2;36000
857;3;85;62;0;4;5;8;6;5;1;0;144000
858;2;65;34;0;8;8;14;5;1;1;2;130000
859;5;95;66;0;2;2;14;34;5;1;0;97000
860;3;73;54;0;3;6;8;10;10;1;2;133000
861;2;56;34;0;3;5;8;75;10;1;2;68000
862;3;71;49;0;4;8;9;20;5;1;2;133000
863;2;58;36;0;4;5;10;72;10;1;0;67000
864;2;52;32;2;5;10;10;95;7;1;1;60000
865;2;55;34;0;6;8;9;60;7;1;0;80000
866;3;56;38;1;1;5;7;85;20;1;0;48000
867;2;43;28;0;4;9;6;67;20;1;2;61000
868;2;52;34;0;8;12;7;6;15;1;2;100000
869;1;37;21;1;7;9;9;117;25;0;1;42000
870;3;73;50;0;5;5;6;23;15;1;0;130000
871;2;57;33;1;17;17;11;68;50;1;1;57000
872;2;46;32;1;5;5;7;83;10;1;0;52000
873;3;65;45;1;6;12;7;106;5;1;1;68000
874;1;42;20;1;10;14;10;97;35;0;1;39000
875;3;70;47;0;5;8;9;19;25;1;2;146000
876;2;39;23;1;6;9;8;47;5;0;2;44000
877;3;55;37;1;3;5;6;73;14;1;2;59000
878;2;54;32;1;12;12;10;91;20;1;2;58000
879;1;40;20;1;22;22;9;91;20;0;2;45000
880;1;35;22;0;6;6;6;30;3;1;2;47000
881;1;30;18;0;2;5;6;35;10;1;2;43000
882;2;45;27;1;3;5;6;78;15;1;0;45000
883;2;52;32;0;11;14;9;105;10;1;1;59250
884;2;58;38;1;4;9;6;80;10;1;2;60640
885;2;52;31;0;2;10;7;18;5;1;0;112000
886;2;54;35;0;1;9;6;18;5;1;0;80970
887;4;100;58;0;2;7;13;20;5;1;0;135000
888;1;32;20;2;1;5;6;102;2;1;0;34000
889;2;64;38;0;3;7;16;13;2;1;0;100000
890;2;56;34;0;1;9;9;19;10;1;0;72000
891;3;67;37;0;9;18;9;49;10;1;1;115000
892;3;62;40;2;1;14;7;89;2;1;0;60000
893;1;39;21;1;12;14;9;102;15;1;1;41000
894;2;75;44;0;7;7;12;68;10;1;2;97000
895;2;51;31;1;10;14;9;80;10;1;2;61000
896;1;39;19;1;9;12;9;109;30;0;2;38000
897;3;76;49;1;14;17;11;8;5;1;3;138000
898;3;63;46;1;1;9;7;80;8;1;0;55000
899;2;45;32;1;5;5;6;40;3;1;2;58500
900;1;30;17;1;3;9;8;78;15;1;0;38000
901;1;35;18;0;5;5;8;39;10;1;2;38500
902;3;72;46;0;6;7;9;35;10;1;2;105000
903;2;51;31;1;3;17;9;8;7;1;2;85000
904;3;67;46;1;3;16;10;41;15;0;1;104000
905;2;54;33;1;13;16;9;35;4;1;2;63000
906;1;35;20;2;8;12;10;90;20;1;1;43000
907;1;31;17;2;4;5;6;98;10;1;2;37000
908;2;43;28;2;4;5;6;83;10;1;0;45000
909;3;76;48;0;6;8;13;4;7;1;1;140000
910;3;66;43;1;13;14;9;88;20;0;2;71000
911;1;36;16;0;14;16;8;116;7;0;1;44000
912;2;43;29;0;8;9;6;117;20;1;2;48000
913;2;50;30;1;11;12;9;88;10;1;2;65000
914;1;31;18;1;4;5;6;116;25;1;2;34000
915;2;60;36;0;4;8;6;5;2;1;2;90000
916;3;75;50;0;9;9;9;13;7;1;2;123000
917;2;55;35;0;6;8;9;37;3;1;2;105000
918;3;51;44;0;2;5;6;51;15;1;2;75000
919;1;33;17;1;5;12;9;56;7;1;1;47000
920;4;97;62;1;11;22;11;92;5;1;0;115000
921;3;76;46;1;9;16;11;54;5;1;3;108000
922;2;63;36;0;6;9;8;27;2;1;2;105000
923;3;59;46;1;7;9;6;75;10;1;1;75000
924;2;47;30;1;5;9;6;46;10;1;2;55000
925;2;37;22;2;6;9;8;116;10;1;2;36000
